f1,f2,f3,f4,f5,label
0.2438169745627514,0.662712886275801,0.863475204043068,0.0063307304803222,0.9673059849311586,1
0.0329532504933826,0.8128568263228947,0.9584796187380422,0.155422546445386,0.0918779243520543,1
0.9019661337540508,0.0682886531910741,0.872246533098625,0.9948499310228338,0.2498372987385373,1
0.7457491185454144,0.1561306954562762,0.2184466928136602,0.9027688536803784,0.9427897031220908,0
0.3287660540521593,0.0931057871012819,0.9511929572351662,0.0274871911064409,0.0083060729712567,1
0.6627913688775527,0.9694637837024388,0.8352491590022253,0.8163484360878089,0.5817717392774563,1
0.6751770020344042,0.1152289897427077,0.2133351358025348,0.4552966820690449,0.6139393777830537,0
0.3596879917737762,0.6867153944997935,0.1073807716195234,0.9088732260644408,0.0880739063787918,0
0.713119826365531,0.2928566506268275,0.6798119490611179,0.5161987225060835,0.9147193778437376,0
0.0692802781699259,0.9566101127199592,0.6108669072934362,0.3729627968549881,0.9087101534068984,0
0.9689689766135706,0.8400959724830833,0.1547230400237225,0.4966087912799668,0.8071528130382182,0
0.3419288787132302,0.9099426907554408,0.9439802684590975,0.3474042912407257,0.2427386128713579,1
0.9440053645931826,0.899160825195072,0.378207924669428,0.1257991895294563,0.2320227590664956,1
0.2207766221733413,0.1565027291554696,0.973292699826135,0.620448925204036,0.7071437124253975,1
0.9841492350683092,0.446685936253038,0.7039123318110125,0.9290544121390688,0.4710211569951096,1
0.1278993478886489,0.5883557485521929,0.3184389159142609,0.0158194077443788,0.4251421212979095,1
0.6014387861467291,0.1752750634425177,0.4645876729627977,0.778405547843045,0.0733511029423132,1
0.1118313005121759,0.7102229666707583,0.2695396586786314,0.1867672681348846,0.5123827562366555,0
0.6447086552176483,0.304868629536683,0.7346335302992689,0.1455408609317092,0.6044636051129935,1
0.0494834694121976,0.1654421937781122,0.2263088750915457,0.5493431197506125,0.060897704948468,0
0.5774687129388473,0.991573775617865,0.0651643003584676,0.975689359412827,0.6450243769716143,0
0.9556585540561596,0.4267827946030577,0.6401239651455015,0.724057527360939,0.582320592723261,1
0.6096418432270622,0.2331985218389345,0.5708647249321049,0.9649432174222892,0.6745115442505247,1
0.4593793442247058,0.319542460656996,0.4450977584648553,0.1795894647832157,0.6040280035588176,0
0.0077177750262465,0.8459879604999511,0.0001447108806562,0.9124613530069638,0.8844491812440435,0
0.4134743976108536,0.3691726063661166,0.6298390399025354,0.0730073156506518,0.0727478527980985,0
0.2301521910651024,0.8084649696246585,0.2547617986862245,0.0657731256073531,0.6467292187824347,1
0.0572331551207921,0.238163376894357,0.3759577927965438,0.855139856342993,0.5382339140983953,0
0.6650477429059872,0.4220791582765476,0.9423121105348446,0.4608530697099215,0.8273723855537346,1
0.4276543054429722,0.6536797709117339,0.0841925515241758,0.9210675258975088,0.6572259609454306,0
0.6130487058203836,0.6913048367362907,0.6658845560526552,0.1217565791453639,0.5294897783074138,1
0.6164716692356319,0.9226618395652544,0.1695827549870907,0.8830612715219291,0.0688710037579454,1
0.8743995915937164,0.2215704914789652,0.5179510460463892,0.06623826291658,0.7101078707838115,0
